vendor_id,legal_name,aliases,status
VND-001,Ceylon Industrial Bearings (Pvt) Ltd,Ceylon Industrial|Ceylon Bearings,approved
VND-002,Lakpura Logistics (Pvt) Ltd,Lakpura|Lakpura Logistics,approved
VND-003,HelioTech Engineering (Pvt) Ltd,HelioTech|Helio Tech,approved
VND-004,Nuwara Components Ltd,Nuwara Components|Nuwara,approved
VND-005,Trincomalee Steel Works (Pvt) Ltd,Trinco Steel|TSW,approved
VND-006,Colombo Fasteners & Tools (Pvt) Ltd,Colombo Fasteners|CFT,approved
VND-007,Mahaweli Supply Co.,Mahaweli Supply|Mahaweli,approved
VND-008,Ratmalana Packaging Solutions (Pvt) Ltd,Ratmalana Packaging|RPS,approved
VND-009,Kandy Precision Hydraulics (Pvt) Ltd,Kandy Hydraulics|KPH,approved
VND-010,Serendib Heavy Parts (Pvt) Ltd,Serendib|SHP,suspended
